FECHA: 	06/08/2024	06/10/2024							Gases del suelo QUI-02N																	
(Si se hacen mediciones todos los dias escribir todas las fechas en cada celda)																										
Colectores de datos:  		"Jesus Marin, Bella, Paulo, Sasha"																								
Inundado?:	Y																									
																										
FECHA:	Miniplot	Cámara	Archivo Licor	Hora de cerrar la cámara	Hora de abrir la cámara	Ambiente		Suelo		pH del suelo					"Altura de cámara (cm)                           (entre el borde de la cámara y base interior en el suelo, hojarasca o agua)"				Promedio de altura de cámara  (cm)	Nivel de agua en el suelo (cm)  (_/+)	Camara flotante (Yes) o (No)	Altura de la camara flotante (del agua al techo)	Notas			
						Tº	 Presión atmosférica (kPa) 	T°	Humedad (%)	pH1	pH2	pH3	pH4	pH5												
07/06/2024	29	A1	29-A	10:10:00	10:16:00	25	100.9	23.5		4.7	4	4.5	4.6		5.1	6.5	5.1	5		5.3	NO					
07/06/2024	29	B2	29-B	10:19:35	10:25:35																					
07/06/2024	32	A1	32-A	11:13:40	11:19:40	23.8	101.3	23.7		3.9	4.1	4.1	4.2		6.5	6.6	5	7.7		-35	NO					
07/06/2024	32	B2	32-B	11:23:51	11:29:57																					
07/06/2024	33	A1	33-A	11:40:21	11:47:01	24	101.35	23.4		4.4	4.7	4.4	4.2		5.7	5.8	6.3	6.7		-33.5	NO					
07/06/2024	33	B2	33-B	11:48:00	11:59:00																					
07/06/2024	36	A1	36-A	12:56:15	13:02:15	23.9	100.5	23.6		4.3	4.4	4.3	3.8		6.8	8.2	7.7	8		3.5	NO					
07/06/2024	36	B2	36-B	13:05:40	13:11:00																					
07/06/2024	13C	A1	13C-A	13:13:40	13:19:40	25	100.7	24.2		4	4.2	4	4		5.5	5.4	4	5.5		-27.6	NO					
07/06/2024	13C	B2	13C-B	13:21:00	13:27:00																					
07/06/2024	35	A1	35-A	13:32:35 PM	13:35:39	24	100.56	23.6		4.6	4.2	4.1	4.3		5	4.5	4.3	4.6		-4.8	NO					
07/06/2024	35	B2	35-B	13:41:07	13:47:05																					
