smpl_date,Site,plot_code,d_chamber,chamber_names,air_temp_c,atmp_Kpa,soil_temp_c,ave_pH,flooded_chamber,start_date_time,CH4_finalflux_mgC_per_hr_m2,Final_CH4_flux_category,CO2_finalflux_mgC_per_hr_m2,Final_CO2_flux_category
2023-05-05,QUI,QUI-02,12-A1,QUI-02_12_23_1,26.4,101.01,25.8,4.44,Yes,2023-05-05T03:31:19Z,3.498706452118332,Linear_field,28.362240810367503,Exponential_field
2023-05-05,QUI,QUI-02,12-A2,QUI-02_12_23_2,26.4,101.01,25.8,4.44,Yes,2023-05-05T03:37:39Z,3.5018120104889134,Linear_field,25.403222232254432,Linear_field
2023-05-05,QUI,QUI-02,12-B1,QUI-02_12_24_1,26.4,101.01,26,3.96,Yes,2023-05-05T03:44:39Z,4.477531650717857,Linear_field,56.444568180346415,Linear_field
2023-05-05,QUI,QUI-02,12-B2,QUI-02_12_24_2,26.4,101.01,26,3.96,Yes,2023-05-05T03:51:39Z,4.957449214861747,Linear_field,57.0059865314935,Linear_field
2023-05-05,QUI,QUI-02,10-A1,QUI-02_10_21_1,27.5,100.83,25.7,3.88,Yes,2023-05-05T04:06:19Z,2.9274008432941154,Linear_field,32.8670280636048,Linear_field
2023-05-05,QUI,QUI-02,10-A2,QUI-02_10_21_2,27.5,100.83,25.7,3.88,Yes,2023-05-05T04:12:59Z,3.1986267172419853,Linear_field,33.60116578418323,Linear_field
2023-05-05,QUI,QUI-02,10-B1,QUI-02_10_22_1,27.5,100.83,25.7,3.38,Yes,2023-05-05T04:22:00Z,3.051189513326635,Linear_field,28.546781604718284,Linear_field
2023-05-05,QUI,QUI-02,10-B2,QUI-02_10_22_2,27.5,100.83,25.7,3.38,Yes,2023-05-05T04:29:00Z,3.6247612025812175,Linear_field,30.008279900412962,Linear_field
2023-05-05,QUI,QUI-02,5-A1,QUI-02_5_15_1,28.2,101.2,26.1,4.14,No,2023-05-05T04:45:59Z,10.524822328585167,Linear_field,270.4053140499752,Linear_field
2023-05-05,QUI,QUI-02,5-A2,QUI-02_5_15_2,28.2,101.2,26.1,4.14,No,2023-05-05T04:52:39Z,10.37773064506096,Linear_field,267.79812073422937,Linear_field
2023-05-05,QUI,QUI-02,5-B1,QUI-02_5_16_1,28.2,101.2,26,3.72,Possibly,2023-05-05T05:08:19Z,0.2382044735013633,Linear_field,15.236908367416637,Exponential_field
