smpl_date,Site,Plot_number,plot_code,sub_plot,chamber,d_chamber,collar_number,chamber_names,air_temp_c,atmp_Kpa,soil_temp_c,soil_moisture,ave_pH,water_height_above_soil,flooded_chamber,flooded_site,more_than_2_reps,flux_notes,site_comments,Final_CO2_file_status,Final_CH4_file_status,start_date_time,start_fDOY,CH4_mean,CH4_rsquared,CO2_mean,CO2_rsquared,CH4_exp_rsquared,CO2_exp_rsquared,CH4_finalflux_mgC_per_hr_m2,Final_CH4_flux_category,CO2_finalflux_mgC_per_hr_m2,Final_CO2_flux_category
2023-05-05,QUI,2,QUI-02,12,A1,12-A1,23,QUI-02_12_23_1,26.4,101.01,25.8,NA,4.44,4.8,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T03:31:19Z,124.35508101852975,8.48142290909091,0.9901255560094179,583.2805460750853,0.9879715090042354,0.9950352512737939,0.9940985887398892,3.498706452118332,Linear_field,28.362240810367503,Exponential_field
2023-05-05,QUI,2,QUI-02,12,A2,12-A2,23,QUI-02_12_23_2,26.4,101.01,25.8,NA,4.44,4.8,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T03:37:39Z,124.35947916666123,8.300736823529412,0.9991866376534592,576.0192028985507,0.9869067026109637,0.9998095898475576,0.9936255932172516,3.5018120104889134,Linear_field,25.403222232254432,Linear_field
2023-05-05,QUI,2,QUI-02,12,B1,12-B1,24,QUI-02_12_24_1,26.4,101.01,26,NA,3.96,4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T03:44:39Z,124.36434027778887,9.03451309090909,0.9999557635263571,604.6737913486005,0.9970069401799312,0.9999930168681161,0.9985123408348746,4.477531650717857,Linear_field,56.444568180346415,Linear_field
2023-05-05,QUI,2,QUI-02,12,B2,12-B2,24,QUI-02_12_24_2,26.4,101.01,26,NA,3.96,4,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T03:51:39Z,124.36920138891651,10.656834050632911,0.9999079411510079,585.3253012048193,0.9967909274113795,0.9999908903925936,0.9980528234460462,4.957449214861747,Linear_field,57.0059865314935,Linear_field
2023-05-05,QUI,2,QUI-02,10,A1,10-A1,21,QUI-02_10_21_1,27.5,100.83,25.7,NA,3.88,5.3,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:06:19Z,124.37938657408495,9.87054115942029,0.9997920551250377,581.4142857142857,0.9970203156195759,0.9999820905542567,0.9987752172701787,2.9274008432941154,Linear_field,32.8670280636048,Linear_field
2023-05-05,QUI,2,QUI-02,10,A2,10-A2,21,QUI-02_10_21_2,27.5,100.83,25.7,NA,3.88,5.3,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:12:59Z,124.38401620371451,9.734042427536233,0.9997850410818484,581.7980821917808,0.9975780302180884,0.9999875329955994,0.9988811989965626,3.1986267172419853,Linear_field,33.60116578418323,Linear_field
2023-05-05,QUI,2,QUI-02,10,B1,10-B1,22,QUI-02_10_22_1,27.5,100.83,25.7,NA,3.38,5.6,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:22:00Z,124.39027777781007,10.272606459854014,0.9993434398388237,586.4169054441261,0.9963526064775341,0.9999233637707549,0.9984157370555339,3.051189513326635,Linear_field,28.546781604718284,Linear_field
2023-05-05,QUI,2,QUI-02,10,B2,10-B2,22,QUI-02_10_22_2,27.5,100.83,25.7,NA,3.38,5.6,Yes,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:29:00Z,124.39513888885472,13.400535547445255,0.9994620579212931,603.7604456824513,0.9970841325745454,0.9997434048100818,0.9981528154253638,3.6247612025812175,Linear_field,30.008279900412962,Linear_field
2023-05-05,QUI,2,QUI-02,5,A1,5-A1,15,QUI-02_5_15_1,28.2,101.2,26.1,NA,4.14,-7,No,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:45:59Z,124.40693287036424,17.681493563636362,0.9997401448434742,887.5784735812133,0.9996481371031811,0.9999935201566925,0.9999281808759862,10.524822328585167,Linear_field,270.4053140499752,Linear_field
2023-05-05,QUI,2,QUI-02,5,A2,5-A2,15,QUI-02_5_15_2,28.2,101.2,26.1,NA,4.14,-7,No,NA,FALSE,NA,none.,Present,Gases de suelo_CH4_QUI_02_2023_05/Pico100002_230505_082329.txt,2023-05-05T04:52:39Z,124.4115624999938,18.52353258181818,0.9996519435207357,961.735145631068,0.9995412596087327,0.9999977049416423,0.999929003916151,10.37773064506096,Linear_field,267.79812073422937,Linear_field
